"key","value","index"
"32-W30",0.877,76
"32-W30",0.877,77
"32-W30",0.877,78
"32-W30",0.877,79
"32-W30",0.877,80
"33-W37",0,1
"33-W37",0,2
"33-W37",0,3
"33-W37",0,4
"33-W37",0,5
"33-W37",0,6
"33-W37",0,7
"33-W37",0,8
"33-W37",0,9
"33-W37",0,10
"33-W37",0,11
"33-W37",0,12
"33-W37",0,13
"33-W37",0,14
"33-W37",0,15
"33-W37",0,16
"33-W37",0,17
"33-W37",0,18
"33-W37",0,19
"33-W37",0,20
"33-W37",0,21
"33-W37",0,22
"33-W37",0,23
"33-W37",0,24
"33-W37",0,25
"33-W37",0,26
"33-W37",0,27
"33-W37",0,28
"33-W37",0,29
"33-W37",0,30
"33-W37",0,31
"33-W37",0,32
"33-W37",0,33
"33-W37",0,34
"33-W37",0,35
"33-W37",0,36
"33-W37",0,37
"33-W37",0,38
"33-W37",0.774,39
"33-W37",0.774,40
"33-W37",0.774,41
"33-W37",0.774,42
"33-W37",0.774,43
"33-W37",0.774,44
"33-W37",0.774,45
"33-W37",0.774,46
"33-W37",0.774,47
"33-W37",0.774,48
"33-W37",0.774,49
"33-W37",0.774,50
"33-W37",0.774,51
"33-W37",0.774,52
"33-W37",0.774,53
"33-W37",0.774,54
"33-W37",0.774,55
"33-W37",0.774,56
"33-W37",0.774,57
"33-W37",0.774,58
"33-W37",0.774,59
"33-W37",0.774,60
"33-W37",0.774,61
"33-W37",0.774,62
"33-W37",0.774,63
"33-W37",0.774,64
"33-W37",0.774,65
"33-W37",0.774,66
"33-W37",0.774,67
"33-W37",0.774,68
"33-W37",0.774,69
"33-W37",0.774,70
"33-W37",0.774,71
"33-W37",0.774,72
"33-W37",0.774,73
"33-W37",0.774,74
"33-W37",0.774,75
"33-W37",0.774,76
"33-W37",0.774,77
"33-W37",0,78
"33-W37",0,79
"33-W37",0,80
"55-PKWF",0,1
"55-PKWF",0,2
"55-PKWF",0,3
"55-PKWF",0,4
"55-PKWF",0,5
"55-PKWF",0.26,6
"55-PKWF",0.755,7
"55-PKWF",0.755,8
